rec1fqChrGPQXGNmQ	20260918-FANZAdougaX	recEfvfO65s5S0o1f	@FANZAdougaX	2026-09-18T13:21:33.000Z	C	2100938278275064225
rec5Mu9X5RqBm2obw	20260921-MOODYZ_official	recuIj1YV4CmsxgJN	@MOODYZ_official	2026-09-20T23:02:17.671Z	B	2101809200032788851
recAGVCP4e5mhHasV	20260921-IDEAPOCKETTER	rec3EWHDnA1tnjPzL	@IDEAPOCKETTER	2026-09-20T23:03:13.091Z	B	2101809432481161224
recApCKJBETWQ700W	20260920-IDEAPOCKETTER	rec3EWHDnA1tnjPzL	@IDEAPOCKETTER	2026-09-20T00:15:33.799Z	A	2101465250864459902
recB0chKStqPLLxSq	20260918-PREMIUM_AV	recHwHcrfE8LFcRdW	@PREMIUM_AV	2026-09-18T13:24:04.000Z	C	2100938911816224853
recBEFtimredtcRvV	20260922-waka_misono	recG1UOdyZhtseqWV	@waka_misono	2026-09-22T16:59:32.817Z	B	2102442687349891356
recCIlOizxhxDvuHY	20260918-honnaka_NN	rec0nGddlSPhwOqcI	@honnaka_NN	2026-09-18T13:27:02.000Z	A	2100939657118937355
recDUvC3rzBqtYf6z	20260921-FANZAdougaX	recEfvfO65s5S0o1f	@FANZAdougaX	2026-09-20T22:23:28.700Z	A	2101799431620477291
recFe7fM6ANoJbwix	20260920-MOODYZ_official	recuIj1YV4CmsxgJN	@MOODYZ_official	2026-09-20T00:14:39.708Z	B	2101465023990444400
recIbAVD0oFDyJwCb	20260922-shiromine_miu	recHRnE8hlXY0CsX5	@shiromine_miu	2026-09-22T00:12:08.724Z	B	2102189166448747004
recIcT6hLLbXbE7Jb	20260921-attackers_av	recGCCpEJDzLNEkLo	@attackers_av	2026-09-20T22:22:32.318Z	A	2101799195137200513
recJCqaVX3xBujdG7	20260920-S1_No1_Style	recItkceKqz7rPmzD	@S1_No1_Style	2026-09-20T12:39:58.561Z	A	2101652588454416580
recKkp3j62z30mk2P	20260918-kawaii_pr	rec00dXKxyuZuZzEY	@kawaii_pr	2026-09-18T13:25:16.000Z	C	2100939213181206773
recLmwOTEyzli3858	20260918-Madonna_AVinfo	rec81cW6UPEmdwPZQ	@Madonna_AVinfo	2026-09-18T13:23:19.000Z	B	2100938725194977383
recMKmBxtJ01OrAeb	20260918-Fitch_official	rec4XV4eU5UQUntIZ	@Fitch_official	2026-09-18T13:26:03.000Z	A	2100939409021702654
recMWf5qzahKX7iti	20260919-honnaka_NN	rec0nGddlSPhwOqcI	@honnaka_NN	2026-09-19T03:24:46.108Z	B	2101150478033936813
recPJl6SQDZt3FHat	20260924-MOODYZ_official	recuIj1YV4CmsxgJN	@MOODYZ_official	2026-09-23T21:53:09.212Z	A	2102878963731501433
recSUBFNxpJ4E5nQg	20260922-MOODYZ_official	recuIj1YV4CmsxgJN	@MOODYZ_official	2026-09-22T00:13:09.218Z	B	2102189420178964939
recStufnxeOo6yU1p	20260922-IDEAPOCKETTER	rec3EWHDnA1tnjPzL	@IDEAPOCKETTER	2026-09-22T00:14:04.296Z	C	2102189651192946809
recT30akLekLk9Tos	20260920-PREMIUM_AV	recHwHcrfE8LFcRdW	@PREMIUM_AV	2026-09-20T00:14:05.269Z	B	2101464879542747487
recTWxdUifMOVXNCf	20260921-shirot_AV_chosa	recPYIDdkQ7EC0w0q	@shirot_AV_chosa	2026-09-20T22:24:12.252Z	C	2101799614290796558
recTYezDasb2cTwaT	20260920-Fitch_official	rec4XV4eU5UQUntIZ	@Fitch_official	2026-09-20T12:37:44.047Z	B	2101652024261841381
recToPt5j8xgeko8p	20260923-PREMIUM_AV	recHwHcrfE8LFcRdW	@PREMIUM_AV	2026-09-22T22:06:49.938Z	A	2102520018240180402
recUWdHUK2ffBiyVk	20260924-FANZAdougaX	recEfvfO65s5S0o1f	@FANZAdougaX	2026-09-23T21:52:45.266Z	A	2102878863294615887
recUo7cKOQjY8V7eA	20260922-iyo_shinohara	rec916RFclGkjRpeb	@iyo_shinohara	2026-09-22T00:11:27.446Z	C	2102188993316360282
recVlfdlZJuyjGR73	20260922-Q-honnaka_NN	rec0nGddlSPhwOqcI	@honnaka_NN	2026-09-22T00:10:31.456Z	Q	2102188758477209635
recXOW0tChnz7TEc9	20260921-PREMIUM_AV	recHwHcrfE8LFcRdW	@PREMIUM_AV	2026-09-20T22:23:10.911Z	C	2101799357008040412
