rec00dXKxyuZuZzEY	@kawaii_pr	メーカー公式	1	稼働	66818
rec0nGddlSPhwOqcI	@honnaka_NN	メーカー公式	1	稼働	12535
rec1fN2VM1pI5l2vf	@5may_itsukaichi	女優本人	1	稼働	181000
rec3EWHDnA1tnjPzL	@IDEAPOCKETTER	メーカー公式	2	稼働	176000
rec4XV4eU5UQUntIZ	@Fitch_official	メーカー公式	1	稼働	60181
rec81cW6UPEmdwPZQ	@Madonna_AVinfo	メーカー公式	1	稼働	90000
rec8tvAJ3ho0kzNOC	@nao_satsuki	女優本人	1	稼働	234821
rec916RFclGkjRpeb	@iyo_shinohara	女優本人	1	稼働	150858
recByvjAnovkOIiu3	@FalenoEvent	メーカー公式	1	稼働	21000
recEfvfO65s5S0o1f	@FANZAdougaX	セール告知系	1	稼働	94218
recFlyz4vYucvCWgd	@mio_sakai_	女優本人	1	稼働	29000
recG1UOdyZhtseqWV	@waka_misono	女優本人	1	稼働	167551
recGCCpEJDzLNEkLo	@attackers_av	メーカー公式	1	稼働	61000
recGgGiVMfR8Bptcp	@DMM10sale	セール告知系	1	稼働	51219
recHRnE8hlXY0CsX5	@shiromine_miu	女優本人	2	稼働	302000
recHwHcrfE8LFcRdW	@PREMIUM_AV	メーカー公式	1	稼働	70600
recItkceKqz7rPmzD	@S1_No1_Style	メーカー公式	3	稼働	359343
recJK4pYv75Fy1Fsz	@AViiyone	レビュー系	1	候補	7907
recLjDdc7R8Q5Hi1Q	@sakuramio_X	女優本人	1	稼働	13000
recMrhIc4oQ6hpG2o	@karin_kitaoka_	女優本人	1	稼働	101900
recNeii0IxsmSm4Sb	@sodstarofficial	メーカー公式	1	稼働	18000
recPYIDdkQ7EC0w0q	@shirot_AV_chosa	レビュー系	1	稼働	4630
recQDdtUugpQKcOUO	@shinnakanodream	メーカー公式	3	稼働	239909
recSPWZyyoFXIFcsV	@hinako_matsui	女優本人	2	候補	
recUTLt9vfrI2Kcf6	@ran_tpowers	女優本人	1	稼働	86005
recVHlk4mHn7C4rAx	@fanza_meireview	レビュー系	1	稼働	9043
recVN501h1w7Krify	@rinrin_dayou	女優本人	2	候補	
recXsIsbNwypxFNLJ	@hosimiyaichika	女優本人	2	候補	
recZgymhLNWcWuMw7	@piyomaru_cmore	女優本人	2	候補	
recaVcZyYkTGSdbb4	@Kizukiamane	女優本人	1	稼働	16256
reccuopQfFX8dSjwS	@fanza_sns	セール告知系	2	稼働	198968
recfvEirsYNX6h6Ga	@azusa_hikari_	女優本人	1	稼働	257000
recgGfmVPiZ2RWs6a	@PRESTIGE_PR2020	メーカー公式	1	稼働	50658
recglKiGDQ9HyneeB	@saki_seino	女優本人	1	稼働	71038
rechIr8AvsSHpDbBN	@Miyoshi_style	女優本人	2	候補	
recld7SvHioWfSb8o	@Aizawa_miyu03	女優本人	1	稼働	201033
recnTmQTtODPKNgoO	@mayukiito	女優本人	3	稼働	1139796
recpZbxpXWLU5POkF	@umi_sea_0v0	女優本人	3	稼働	1086536
recrSDMfNaoitnuaV	@wanz_official	メーカー公式	1	稼働	47000
recsUaZoSgPvqFAcu	@otona_rank_info	レビュー系		候補	
recuIj1YV4CmsxgJN	@MOODYZ_official	メーカー公式	2	稼働	259717
recyp3I87NxJey8LV	@SOFT_ON_DEMAND	メーカー公式	1	候補	
